N,Data_Structure,Time_Insert,Time_Search,Time_Max,Time_Min,Time_Pred,Time_Succ,Time_Delete
1000,Unsorted_Array,0.000003,0.001038,0.001219,0.001080,0.003090,0.002245,0.000002
1000,Sorted_Array,0.000284,0.000014,0.000001,0.000001,0.000001,0.000001,0.000384
1000,SLL_Unsorted,0.000020,0.001327,0.001225,0.001202,0.002628,0.002606,0.000699
1000,SLL_Sorted,0.000351,0.000001,0.001145,0.000000,0.000654,0.000001,0.000687
1000,DLL_Unsorted,0.000013,0.001305,0.001159,0.001194,0.002701,0.002696,0.000012
1000,DLL_Sorted,0.000349,0.000001,0.000001,0.000001,0.000001,0.000001,0.000015
2000,Unsorted_Array,0.000005,0.002154,0.002195,0.002260,0.010297,0.010314,0.000006
2000,Sorted_Array,0.000966,0.000028,0.000002,0.000002,0.000001,0.000001,0.001483
2000,SLL_Unsorted,0.000028,0.005749,0.004661,0.004644,0.011460,0.011797,0.002724
2000,SLL_Sorted,0.001607,0.000003,0.008805,0.000002,0.003880,0.000002,0.003937
2000,DLL_Unsorted,0.000019,0.005260,0.004693,0.004715,0.011527,0.011823,0.000023
2000,DLL_Sorted,0.001496,0.000002,0.000002,0.000002,0.000002,0.000002,0.000035
4000,Unsorted_Array,0.000009,0.008269,0.008874,0.008649,0.042231,0.043101,0.000008
4000,Sorted_Array,0.004186,0.000081,0.000006,0.000004,0.000004,0.000005,0.006536
4000,SLL_Unsorted,0.000052,0.021442,0.018238,0.018279,0.046560,0.048689,0.010907
4000,SLL_Sorted,0.009260,0.000005,0.050167,0.000002,0.024920,0.000006,0.024323
4000,DLL_Unsorted,0.000041,0.021421,0.018386,0.018513,0.047734,0.049160,0.000044
4000,DLL_Sorted,0.009741,0.000005,0.000003,0.000002,0.000004,0.000004,0.000074
8000,Unsorted_Array,0.000023,0.032931,0.033671,0.034648,0.174901,0.178496,0.000016
8000,Sorted_Array,0.015545,0.000155,0.000011,0.000007,0.000007,0.000007,0.026264
8000,SLL_Unsorted,0.000103,0.086298,0.072999,0.072056,0.188828,0.200288,0.043314
8000,SLL_Sorted,0.045871,0.000009,0.220309,0.000005,0.112477,0.000010,0.107564
8000,DLL_Unsorted,0.000069,0.085886,0.072969,0.072458,0.193587,0.200432,0.000095
8000,DLL_Sorted,0.049406,0.000009,0.000005,0.000006,0.000009,0.000010,0.000143
10000,Unsorted_Array,0.000023,0.051761,0.051982,0.053696,0.273233,0.278700,0.000018
10000,Sorted_Array,0.026804,0.000187,0.000009,0.000008,0.000008,0.000009,0.039412
10000,SLL_Unsorted,0.000092,0.134787,0.114570,0.114670,0.294536,0.312000,0.067474
10000,SLL_Sorted,0.076071,0.000012,0.352325,0.000007,0.180344,0.000011,0.172290
10000,DLL_Unsorted,0.000087,0.134380,0.113524,0.113997,0.302459,0.313436,0.000113
10000,DLL_Sorted,0.082864,0.000012,0.000007,0.000008,0.000013,0.000013,0.000180
